Head,HeadName,SameHeadStartFlag,Programme No.,Programme Name,Sector,2013-14-Actual,"2014-15
(Original)
($m)","2014-15
(Revised)
($m)","2015-16
(Estimate)
($m)"
92,Department of Justice,0,2,Civil,,583,941.6,793.6,967.7
92,Department of Justice,0,3,Legal Policy,,88.5,114.5,110.6,116.9
92,Department of Justice,0,4,Law Drafting,,92,104.3,105,115
92,Department of Justice,0,5,International Law,,49.4,57.2,56.6,68.7
94,Legal Aid Department,1,1,Processing of Legal Aid Applications,,96.7,97.9,99.9,100.5
94,Legal Aid Department,0,2,Litigation Services,,695.8,685.2,685.4,691.3
94,Legal Aid Department,0,3,Support Services,,34.1,35.4,39,40
94,Legal Aid Department,0,4,Official Solicitor's Office,,14.9,14.7,16.7,13.3
95,Leisure and Cultural Services Department,1,1,Recreation and Sports,,3182.6,3223.7,3330.7,3566.5
95,Leisure and Cultural Services Department,0,2,Horticulture and Amenities,,831.6,895.7,883.2,952.2
95,Leisure and Cultural Services Department,0,3,Heritage and Museums,,720.2,781.9,793.7,834.3
95,Leisure and Cultural Services Department,0,4,Performing Arts,,978,985.7,1034.4,1039.2
95,Leisure and Cultural Services Department,0,5,Public Libraries,,874.6,1002.3,990.9,1090.5
96,Government Secretariat: Overseas Economic and Trade Offices,1,1,Commercial Relations,,150.1,161,158.5,171.3
96,Government Secretariat: Overseas Economic and Trade Offices,0,2,Public Relations,,112,118,116.6,126.2
96,Government Secretariat: Overseas Economic and Trade Offices,0,3,Investment Promotion,,52.1,54.5,53.8,58.3
100,Marine Department,1,1,Infrastructure,,51,51.1,53.5,53.9
100,Marine Department,0,2,Port Services,,381.1,422,432.3,432.7
100,Marine Department,0,3,Local Services,,104.4,124.7,138.7,121.9
100,Marine Department,0,4,Services to Ships,,85.3,94.2,97.4,92.6
100,Marine Department,0,5,Government Fleet,,438.9,464.5,474.4,477
112,Legislative Council Commission,1,1,Members' Offices and Remuneration,,221.9,211,210.9,228.1
112,Legislative Council Commission,0,2,Council Business Services,,335,378.2,384,388.4
112,Legislative Council Commission,0,3,Legal Service,,44.9,44.7,49.7,49.6
112,Legislative Council Commission,0,4,Redress System,,20.1,19.5,23.3,22.9
112,Legislative Council Commission,0,5,Library and Archives Services,,28.3,32.1,32.4,34.4
112,Legislative Council Commission,0,6,Corporate Liaison and Education and Visitor Services,,29.5,32.2,31.6,35.2
114,Office of The Ombudsman,1,1,Complaints Administration,,102.5,102.8,107.2,107.1
116,Official Receiver's Office,1,1,Official Receiver's Office,,139.8,147.6,149.9,154.4
118,Planning Department,1,1,Territorial Planning,,90,116.4,117.4,126.9
118,Planning Department,0,2,District Planning,,336.8,363.2,360.3,369.1
118,Planning Department,0,3,Town Planning Information Services,,23.6,27.2,28.2,29.5
118,Planning Department,0,4,Technical Services,,95.5,101.1,101.3,104.3
120,Pensions,1,1,Public and Judicial Service Pension Benefits,,23889.2,27291.1,26508.8,29689.1
120,Pensions,0,2,War Memorial Pensions/Volunteer Pensions,,24.3,26,23.3,23.3
121,Independent Police Complaints Council,1,1,Police Complaints Administration,,50.9,56,57.6,57.3
122,Hong Kong Police Force,1,1,Maintenance of Law and Order in the Community,,7304.4,7572.8,8041.4,8076
122,Hong Kong Police Force,0,2,Prevention and Detection of Crime,,3388.7,3213.7,3380.6,3432.8
122,Hong Kong Police Force,0,3,Road Safety,,1286.9,1554.8,1657.5,1656.8
122,Hong Kong Police Force,0,4,Operations,,3164.2,3173.9,3331.4,3635.1
136,Public Service Commission Secretariat,1,1,Secretariat services for the Public Service Commission,,20.4,20.8,21.6,21.9
137,Government Secretariat: Environment Bureau,1,1,Director of Bureau's Office,,16,15.5,15.8,15.9
137,Government Secretariat: Environment Bureau,0,2,Power,,22.7,31.9,31.3,33.2
137,Government Secretariat: Environment Bureau,0,3,Sustainable Development,,29.9,33,31.3,32.3
138,Government Secretariat: Development Bureau (Planning and Lands Branch),1,1,Director of Bureau's Office,,9.9,13.4,13.5,13.4
138,Government Secretariat: Development Bureau (Planning and Lands Branch),0,2,"Buildings, Lands and Planning",,527.6,478.6,463.3,302.4
139,Government Secretariat: Food and Health Bureau (Food Branch),1,1,Director of Bureau's Office,,10.7,11.1,11.4,11.1
139,Government Secretariat: Food and Health Bureau (Food Branch),0,2,"Agriculture, Fisheries and Food Safety",,34.1,44.6,44.9,50.3
139,Government Secretariat: Food and Health Bureau (Food Branch),0,3,Environmental Hygiene,,30,20.5,20.1,22.9
140,Government Secretariat: Food and Health Bureau (Health Branch),1,1,Health,,224.7,386.4,326.2,371.6
140,Government Secretariat: Food and Health Bureau (Health Branch),0,2,Subvention: Hospital Authority,,46315.6,47973,49706.8,49876
140,Government Secretariat: Food and Health Bureau (Health Branch),0,3,Subvention: Prince Philip Dental Hospital,,152.2,148.4,152.9,153
141,Government Secretariat: Labour and Welfare Bureau,1,1,Director of Bureau's Office,,9,12.2,11.1,12.1
141,Government Secretariat: Labour and Welfare Bureau,0,2,Social Welfare,,342.5,374.7,371.7,412.6
141,Government Secretariat: Labour and Welfare Bureau,0,3,Women's Interests,,25.5,29.6,28.8,32.2
141,Government Secretariat: Labour and Welfare Bureau,0,4,Manpower Development,,15032.7,31.1,30.5,34.6
141,Government Secretariat: Labour and Welfare Bureau,0,5,Subvention: Shine Skills Centres,,97,98.7,101.5,100.5
141,Government Secretariat: Labour and Welfare Bureau,0,6,Subvention: Guardianship Board and Environmental Advisory Service,,6.3,7.3,7.4,7
141,Government Secretariat: Labour and Welfare Bureau,0,7,Subvention: Vocational Training Council (Vocational Training),,200.1,200.1,206.4,202.7
142,Government Secretariat: Offices of the Chief Secretary for Administration and the Financial Secretary,1,1,Efficiency Unit,,167.6,221.5,208.4,221.1
142,Government Secretariat: Offices of the Chief Secretary for Administration and the Financial Secretary,0,2,Government Records Service,,45.4,57.3,54.6,58.7
142,Government Secretariat: Offices of the Chief Secretary for Administration and the Financial Secretary,0,3,CSO-Administration Wing,,448.4,509.8,476.8,527.8
142,Government Secretariat: Offices of the Chief Secretary for Administration and the Financial Secretary,0,4,Protocol Division,,39.7,45.2,44.4,45.6
143,Government Secretariat: Civil Service Bureau,1,1,Director of Bureau's Office,,6.5,6.5,6.7,6.7
143,Government Secretariat: Civil Service Bureau,0,2,Human Resource Management,,234.7,255.6,262.2,275.8
143,Government Secretariat: Civil Service Bureau,0,3,Translation and Interpretation Services and Use of Official Languages,,121.2,126.9,127.4,135.8
143,Government Secretariat: Civil Service Bureau,0,4,Civil Service Training and Development,,122,132.4,130.7,138.7
144,Government Secretariat: Constitutional and Mainland Affairs Bureau,1,1,Director of Bureau's Office,,9.9,9.7,9.9,10.2
144,Government Secretariat: Constitutional and Mainland Affairs Bureau,0,2,Constitutional and Mainland Affairs,,104.5,128.6,117.8,112.2
