"總目","帳目","分目(編號)","分目","項目(編號)","涵蓋的範圍","核准
承擔額
$'000","截至
31.3.2017止
的累積開支
$'000","2017-18
修訂預算開支
$'000","結餘
$'000"
"170","經營帳目","700","一般非經常開支","521","創業展才能計劃",254000,87488,14000,152512
"170","經營帳目","700","一般非經常開支","802","為社會保障受助人提供額外援助金2017",3490000,0,2906000,584000
"170","經營帳目","700","一般非經常開支","803","為社會保障受助人提供額外援助金2018",7447000,0,0,7447000
"170","經營帳目","700","一般非經常開支","804","在二零一八至一九學年向經濟上有需要的學生提供一筆過支援津貼",142000,0,0,142000
"170","經營帳目","700","一般非經常開支","811","短期食物援助",1047000,469592,85382,492026
"170","經營帳目","700","一般非經常開支","812","向嚴重急性呼吸系統綜合症信託基金注資 2018",50000,0,0,50000
"170","經營帳目","700","一般非經常開支","813","樂齡及康復創科應用基金",1000000,0,0,1000000
"170","經營帳目","700","一般非經常開支","814","殘疾人士藝術發展基金",250000,0,0,250000
"173","經營帳目","700","一般非經常開支","508","持續進修基金",6200000,4217773,151153,1831074
"173","經營帳目","700","一般非經常開支","801","為低收入在職家庭津貼受助人提供的額外撥款2017",72686,0,60651,12035
"173","經營帳目","700","一般非經常開支","802","為在職家庭津貼受助人提供的額外撥款2018",325804,0,0,325804
"173","經營帳目","700","一般非經常開支","803","在二〇一八至一九學年向經濟上有需要的學生提供一筆過支援津貼",600000,0,0,600000
"173","經營帳目","700","一般非經常開支","804","關愛共享計劃",11316000,0,0,11316000
"181","經營帳目","700","一般非經常開支","520","中小企業信貸保證計劃",30000000,272048,31000,29696952
"181","經營帳目","700","一般非經常開支","524","中小企業市場推廣和發展支援基金",5250000,3710623,168000,1371377
"181","經營帳目","700","一般非經常開支","802","特別信貸保證計劃",100000000,639411,88500,99272089
"181","經營帳目","700","一般非經常開支","836","發展品牌、升級轉型及拓展內銷市場的專項基金",1000000,344143,108500,547357
"186","經營帳目","700","一般非經常開支","845","為推行政府長者及合資格殘疾人士公共交通票價優惠計劃而建立中央結算平台及提升相關系統",17197,15038,1000,1159
"186","經營帳目","700","一般非經常開支","853","運輸署交通控制中心遷往西九龍政府合署",56049,130,1011,54908
"186","經營帳目","700","一般非經常開支","854","使用新的路軌塗層技術更換現有的電車路軌",19658,0,1966,17692
"186","經營帳目","700","一般非經常開支","855","提升香港易行度顧問研究",21620,0,1147,20473
"186","經營帳目","700","一般非經常開支","861","為 6 條主要離島渡輪航線提供特別協助措施",412140,0,41215,370925
"186","經營帳目","700","一般非經常開支","880","加強「香港乘車易」服務以方便長者使用",3800,1191,1162,1447
"186","經營帳目","700","一般非經常開支","881","研究在交通燈控制的行人過路處為長者添置智能設備",4000,881,2150,969
"186","經營帳目","700","一般非經常開支","890","提升公共交通配套設施以方便候車乘客 － 一次性資助專營巴士公司在巴士站安裝座椅及實時巴士到站資訊顯示屏",88270,0,2500,85770
"186","經營帳目","700","一般非經常開支","897","商用車輛泊車位顧問研究 ",9900,0,440,9460
"186","經營帳目","700","一般非經常開支","898","沙田至中環線與其他公共運輸服務協調顧問研究",6400,252,4537,1611
"186","非經營帳目","603","機器、車輛及設備","856","更換將軍澳隧道的高壓和低壓供電系統",70560,0,1000,69560
"186","非經營帳目","603","機器、車輛及設備","857","更換大老山隧道的人手收費系統及安裝電子繳費系統",27050,0,1000,26050
"186","非經營帳目","603","機器、車輛及設備","858","更換長青隧道的自動火警警報系統",26334,0,500,25834
"186","非經營帳目","603","機器、車輛及設備","859","更換啟德隧道的自動火警警報系統",22680,0,500,22180
"186","非經營帳目","603","機器、車輛及設備","860","更換啟德隧道的低壓供電系統",35280,0,900,34380
"186","非經營帳目","603","機器、車輛及設備","863","更換將軍澳隧道的消防系統",13507,0,0,13507
"186","非經營帳目","603","機器、車輛及設備","864","更換青馬管制區內不同位置的不間斷電源供應系統",11897,0,0,11897
"186","非經營帳目","603","機器、車輛及設備","865","更換獅子山隧道內不同位置的不間斷電源供應系統",11930,0,0,11930
"186","非經營帳目","603","機器、車輛及設備","866","更換紅磡海底隧道的閉路電視系統",10810,0,0,10810
"186","非經營帳目","603","機器、車輛及設備","867","更換青馬管制區長青隧道內的高壓供電系統",50400,0,0,50400
"186","非經營帳目","603","機器、車輛及設備","870","更換青沙管制區內的中央監察系統網絡",44000,0,0,44000
"186","非經營帳目","603","機器、車輛及設備","871","更換啟德隧道內的高壓供電系統",33900,0,0,33900
"186","非經營帳目","603","機器、車輛及設備","872","更換香港仔隧道的環境監察系統",12600,0,0,12600
"186","非經營帳目","603","機器、車輛及設備","873","更換獅子山隧道的環境監察系統",12600,0,0,12600
"186","非經營帳目","603","機器、車輛及設備","882","更換青馬管制區行政大樓空調系統及設備",14520,0,0,14520
"186","非經營帳目","603","機器、車輛及設備","883","採購新一代停車收費錶系統及附屬設備",304000,0,0,304000
"190","經營帳目","700","一般非經常開支","802","向研究基金注資",3000000,0,0,3000000
"190","經營帳目","700","一般非經常開支","932","為修讀大學教育資助委員會資助研究院研究課程的本地學生提供免入息審查助學金",70000,0,0,70000
