"","","","分目(編號)","核准項目","核准項目預算
$’000","截至31.3.2017止的實際開支
$’000","2017–18修訂預算
$’000","2018–19預算
$’000"
"主要系統設備","運輸署","","8124ZN","更換海底隧道通風系統","69300","40300","8000","6033"
"主要系統設備","運輸署","","8142ZN","更換城門隧道照明系統和監控及管理系統","131970","30280","42826","38294"
"主要系統設備","運輸署","","8144ZN","更換／重置青馬管制區大嶼山及馬灣繳費廣場的車輛繳費系統","81300","23394","31593","13614"
"主要系統設備","運輸署","","8145ZN","在政府收費隧道和道路的人手收費亭設置『停車拍卡』式電子繳費設施","45530","8231","15615","15390"
"主要系統設備","運輸署","","8168ZN","更換大埔及北區的區域交通控制系統","32200","1568","2700","10930"
"主要系統設備","運輸署","","8174ZN","更換啟德隧道照明系統","85900","4650","6000","19162"
"主要系統設備","運輸署","","8177ZN","運輸署交通控制中心遷往西九龍政府合署","73254","43","1580","5465"
"主要系統設備","運輸署","","8178ZN","更換東區海底隧道的交通管制及監察系統","145650","4300","3000","6000"
"主要系統設備","運輸署","","8179ZN","更換香港仔隧道的火警警報系統","15120","200","200","3620"
"主要系統設備","運輸署","","8180ZN","更換啟德隧道的交通管制及監察系統","112040","2000","4000","5000"
"主要系統設備","運輸署","","8181ZN","更換香港仔隧道的人手收費系統","19908","1000","1000","4258"
"主要系統設備","運輸署","","8183ZN","安裝交通探測器","194000","608","3880","16155"
"主要系統設備","運輸署","","8184ZN","更換青馬管制區的交通管制及監察系統","0","0","0","12000"
"整體撥款","","","8100BX","為受資助機構(獲教育資助金或醫療資助金資助的機構除外)進行與斜坡有關的基本工程","0","0","4260","4290"
"整體撥款","","","8100EX","大學教育資助委員會資助院校校舍的改建、加建、維修及改善工程","0","0","596360","616290"
"整體撥款","","","8100QX","獲得教育資助金資助的建築物的改建、加建、維修及改善工程","0","0","602166","828880"
"整體撥款","","","8001SX","闢建福利設施","0","0","160351","164710"
"完成、取消或削減的工程","","","","","0","0","277102","0"
